edge_type_id target_label dynamics_params syn_weight delay
0 e5Rbp4 e2e.json 0.192834123607 1.0
1 e23Cux2 e2e.json 0.209297861215 1.0
2 e4Scnn1a e2e.json 6.138510193350001e-12 1.0
3 i6Htr3a e2i.json 0.2193724236059999 1.0
4 e4other e2e.json 7.770458218580002e-19 1.0
5 i4Sst e2i.json 0.304771075832 1.0
6 e4Nr5a1 e2e.json 3.0315397032600004e-15 1.0
7 i5Sst e2i.json 0.219652260516 1.0
8 i4Pvalb e2i.json 9.35141262407e-27 1.0
9 i6Sst e2i.json 0.315562589751 1.0
10 i6Pvalb e2i.json 2.39334308765e-21 1.0
11 i23Pvalb e2i.json 0.206360632416 1.0
12 i23Htr3a e2i.json 0.308672915966 1.0
13 e4Rorb e2e.json 5.4542495463299995e-09 1.0
14 i5Htr3a e2i.json 0.00164189585339 1.0
15 i5Pvalb e2i.json 3.2695254225500005e-19 1.0
16 i23Sst e2i.json 0.483280828545 1.0
17 i4Htr3a e2i.json 0.132210700577 1.0
18 e6Ntsr1 e2e.json 0.436803582171 1.0
19 i1Htr3a e2i.json 0.6683522715720001 1.0
20 e5noRbp4 e2e.json 0.138316896552 1.0
