name,epoch,step,values
tf_gpu_allocator,,,cuda_malloc_async
step_timesteps,1,1,1.9622151851654053
gpu_memory_usage_per_step,1,1,7.7744140625
step_gpu0_resident_used_gib,1,1,7.7744140625
step_gpu0_resident_free_gib,1,1,15.7763671875
step_gpu0_resident_total_gib,1,1,24.0
step_gpu0_tf_allocator_current_gib,1,1,0.012882623821496964
step_gpu0_tf_allocator_peak_gib,1,1,2.4638638077303767
step_timesteps,1,2,0.9552867412567139
gpu_memory_usage_per_step,1,2,7.775390625
step_gpu0_resident_used_gib,1,2,7.775390625
step_gpu0_resident_free_gib,1,2,15.7763671875
step_gpu0_resident_total_gib,1,2,24.0
step_gpu0_tf_allocator_current_gib,1,2,0.012882623821496964
step_gpu0_tf_allocator_peak_gib,1,2,2.4638638077303767
step_timesteps,1,3,0.9108953475952148
gpu_memory_usage_per_step,1,3,7.7734375
step_gpu0_resident_used_gib,1,3,7.7734375
step_gpu0_resident_free_gib,1,3,15.77734375
step_gpu0_resident_total_gib,1,3,24.0
step_gpu0_tf_allocator_current_gib,1,3,0.012882623821496964
step_gpu0_tf_allocator_peak_gib,1,3,2.4638638077303767
step_timesteps,1,4,0.896111011505127
gpu_memory_usage_per_step,1,4,7.7734375
step_gpu0_resident_used_gib,1,4,7.7734375
step_gpu0_resident_free_gib,1,4,15.77734375
step_gpu0_resident_total_gib,1,4,24.0
step_gpu0_tf_allocator_current_gib,1,4,0.012882623821496964
step_gpu0_tf_allocator_peak_gib,1,4,2.4638638077303767
step_timesteps,1,5,1.1089646816253662
gpu_memory_usage_per_step,1,5,7.7724609375
step_gpu0_resident_used_gib,1,5,7.7724609375
step_gpu0_resident_free_gib,1,5,15.7783203125
step_gpu0_resident_total_gib,1,5,24.0
step_gpu0_tf_allocator_current_gib,1,5,0.012882623821496964
step_gpu0_tf_allocator_peak_gib,1,5,2.4638638077303767
epoch_timesteps,1,,7.3734142780303955
epoch_end_gpu0_resident_used_gib,1,,7.7724609375
epoch_end_gpu0_resident_free_gib,1,,15.7783203125
epoch_end_gpu0_resident_total_gib,1,,24.0
epoch_end_gpu0_tf_allocator_current_gib,1,,0.012905092909932137
epoch_end_gpu0_tf_allocator_peak_gib,1,,2.4638638077303767
step_timesteps,2,1,0.8179974555969238
gpu_memory_usage_per_step,2,1,7.7724609375
step_gpu0_resident_used_gib,2,1,7.7724609375
step_gpu0_resident_free_gib,2,1,15.7783203125
step_gpu0_resident_total_gib,2,1,24.0
step_gpu0_tf_allocator_current_gib,2,1,0.012905092909932137
step_gpu0_tf_allocator_peak_gib,2,1,0.6373814642429352
step_timesteps,2,2,0.7250754833221436
gpu_memory_usage_per_step,2,2,7.771484375
step_gpu0_resident_used_gib,2,2,7.771484375
step_gpu0_resident_free_gib,2,2,15.779296875
step_gpu0_resident_total_gib,2,2,24.0
step_gpu0_tf_allocator_current_gib,2,2,0.012905092909932137
step_gpu0_tf_allocator_peak_gib,2,2,0.6373814642429352
step_timesteps,2,3,0.793236255645752
gpu_memory_usage_per_step,2,3,7.771484375
step_gpu0_resident_used_gib,2,3,7.771484375
step_gpu0_resident_free_gib,2,3,15.779296875
step_gpu0_resident_total_gib,2,3,24.0
step_gpu0_tf_allocator_current_gib,2,3,0.012905092909932137
step_gpu0_tf_allocator_peak_gib,2,3,0.6373814642429352
step_timesteps,2,4,0.8142948150634766
gpu_memory_usage_per_step,2,4,7.771484375
